seconds,cpu,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
1682319095.550902,cpu,105740,32,26158,1305736,2689,0,1642,0,0,0
1682319095.650507,cpu,105740,32,26158,1305775,2689,0,1642,0,0,0
1682319095.751873,cpu,105742,32,26163,1305808,2689,0,1642,0,0,0
1682319095.851998,cpu,105752,32,26163,1305838,2689,0,1642,0,0,0
1682319095.952170,cpu,105770,32,26168,1305855,2689,0,1642,0,0,0
1682319096.052314,cpu,105790,32,26173,1305870,2689,0,1642,0,0,0
1682319096.152272,cpu,105799,32,26181,1305892,2689,0,1642,0,0,0
1682319096.252339,cpu,105799,32,26181,1305932,2689,0,1642,0,0,0
1682319096.352408,cpu,105799,32,26181,1305972,2689,0,1642,0,0,0
1682319096.452483,cpu,105799,32,26181,1306012,2689,0,1642,0,0,0
1682319096.552561,cpu,105799,32,26181,1306051,2690,0,1642,0,0,0
1682319096.652637,cpu,105799,32,26181,1306090,2690,0,1642,0,0,0
1682319096.752711,cpu,105799,32,26181,1306129,2690,0,1642,0,0,0
1682319096.852780,cpu,105799,32,26181,1306168,2690,0,1642,0,0,0
1682319096.952852,cpu,105799,32,26181,1306208,2690,0,1642,0,0,0
1682319097.052926,cpu,105799,32,26181,1306248,2690,0,1642,0,0,0
1682319097.152997,cpu,105799,32,26181,1306288,2690,0,1642,0,0,0
1682319097.253068,cpu,105799,32,26181,1306328,2690,0,1642,0,0,0
1682319097.353145,cpu,105799,32,26181,1306368,2690,0,1642,0,0,0
1682319097.453237,cpu,105799,32,26181,1306408,2690,0,1642,0,0,0
1682319097.553310,cpu,105799,32,26181,1306447,2690,0,1642,0,0,0
1682319097.653385,cpu,105799,32,26181,1306487,2690,0,1642,0,0,0
1682319097.753459,cpu,105800,32,26181,1306527,2690,0,1642,0,0,0
1682319097.853527,cpu,105800,32,26181,1306567,2690,0,1642,0,0,0
1682319097.953599,cpu,105800,32,26181,1306607,2690,0,1642,0,0,0
1682319098.053669,cpu,105800,32,26181,1306647,2690,0,1642,0,0,0
1682319098.153760,cpu,105802,32,26183,1306681,2690,0,1642,0,0,0
1682319098.253824,cpu,105802,32,26183,1306721,2690,0,1642,0,0,0
1682319098.353896,cpu,105802,32,26183,1306761,2690,0,1642,0,0,0
1682319098.453986,cpu,105811,32,26188,1306787,2690,0,1642,0,0,0
1682319098.554050,cpu,105811,32,26188,1306827,2690,0,1642,0,0,0
1682319098.654126,cpu,105811,32,26190,1306867,2690,0,1642,0,0,0
1682319098.754205,cpu,105812,32,26191,1306906,2690,0,1642,0,0,0
1682319098.854291,cpu,105812,32,26191,1306945,2690,0,1642,0,0,0
1682319098.954362,cpu,105812,32,26191,1306985,2690,0,1643,0,0,0
1682319099.054434,cpu,105812,32,26191,1307025,2690,0,1643,0,0,0
1682319099.154512,cpu,105812,32,26192,1307064,2690,0,1643,0,0,0
1682319099.254585,cpu,105812,32,26192,1307104,2690,0,1643,0,0,0
1682319099.354660,cpu,105812,32,26192,1307144,2690,0,1643,0,0,0
1682319099.454734,cpu,105812,32,26192,1307184,2690,0,1643,0,0,0
1682319099.554807,cpu,105812,32,26192,1307223,2690,0,1643,0,0,0
1682319099.654880,cpu,105812,32,26192,1307263,2690,0,1643,0,0,0
1682319099.754955,cpu,105812,32,26192,1307303,2690,0,1643,0,0,0
1682319099.855036,cpu,105812,32,26192,1307343,2690,0,1643,0,0,0
1682319099.955114,cpu,105812,32,26192,1307382,2690,0,1643,0,0,0
1682319100.055249,cpu,105812,32,26192,1307422,2690,0,1643,0,0,0
1682319100.155274,cpu,105812,32,26194,1307461,2690,0,1643,0,0,0
1682319100.255345,cpu,105812,32,26194,1307500,2690,0,1643,0,0,0
1682319100.355418,cpu,105812,32,26194,1307540,2690,0,1643,0,0,0
1682319100.455495,cpu,105812,32,26194,1307580,2690,0,1643,0,0,0
1682319100.555584,cpu,105812,32,26194,1307620,2690,0,1643,0,0,0
1682319100.655662,cpu,105812,32,26194,1307660,2690,0,1643,0,0,0
1682319100.755856,cpu,105813,32,26195,1307699,2690,0,1643,0,0,0
1682319100.855949,cpu,105813,32,26195,1307739,2690,0,1643,0,0,0
1682319100.956070,cpu,105813,32,26195,1307778,2690,0,1644,0,0,0
1682319101.056183,cpu,105813,32,26195,1307818,2690,0,1644,0,0,0
1682319101.156305,cpu,105813,32,26195,1307857,2690,0,1644,0,0,0
1682319101.256418,cpu,105813,32,26195,1307897,2690,0,1644,0,0,0
1682319101.356539,cpu,105813,32,26195,1307936,2690,0,1644,0,0,0
1682319101.456653,cpu,105813,32,26195,1307975,2690,0,1644,0,0,0
1682319101.556781,cpu,105813,32,26196,1308015,2690,0,1644,0,0,0
1682319101.656897,cpu,105813,32,26196,1308054,2690,0,1644,0,0,0
1682319101.757021,cpu,105813,32,26196,1308093,2690,0,1644,0,0,0
1682319101.857322,cpu,105823,32,26197,1308122,2690,0,1644,0,0,0
1682319101.957283,cpu,105828,32,26199,1308156,2690,0,1644,0,0,0
1682319102.057398,cpu,105828,32,26199,1308195,2690,0,1644,0,0,0
1682319102.157468,cpu,105828,32,26199,1308235,2690,0,1644,0,0,0
