collection_time,cpu_util,watts
1682318647.402733,6.451612903225806,2.458
1682318647.502773,6.25,2.458
1682318647.602736,23.076923076923077,2.458
1682318647.702859,23.076923076923077,2.458
1682318647.802949,62.5,2.458
1682318647.903128,50.0,2.458
1682318648.003259,24.242424242424242,2.458
1682318648.103362,9.090909090909092,3.06346779539436
1682318648.203469,6.25,3.5450159059592057
1682318648.303513,3.225806451612903,4.076
1682318648.403626,9.090909090909092,4.076
1682318648.503743,6.25,4.076
1682318648.603856,12.5,4.076
1682318648.703984,23.076923076923077,4.0775834243792755
1682318648.804194,90.0,4.0798031770467835
1682318648.90447,80.0,4.082024392610788
1682318649.004571,85.0,4.084
1682318649.104706,100.0,4.084
1682318649.20486,85.71428571428571,4.084
1682318649.305187,64.1025641025641,4.084
1682318649.40518,65.0,4.3888616182322435
1682318649.505245,25.0,4.659621421680935
1682318649.605454,28.205128205128204,5.047
1682318649.705583,67.5,5.047
1682318649.806127,97.5609756097561,5.047
1682318649.906066,100.0,5.047
1682318650.0061,82.05128205128204,5.047
1682318650.106254,25.0,5.047820027961357
1682318650.206421,29.268292682926827,5.048400720250284
1682318650.306672,82.92682926829268,5.049
1682318650.406779,100.0,5.049
1682318650.507135,100.0,5.049
1682318650.607004,67.5,5.049
1682318650.707065,25.0,5.049
1682318650.807602,30.0,5.103018714503165
1682318650.907992,90.0,5.194752709425487
1682318651.008001,100.0,5.286138779818421
1682318651.108094,100.0,5.352
1682318651.208085,56.09756097560976,5.352
1682318651.308214,25.0,5.352
1682318651.408485,46.15384615384615,5.352
1682318651.508655,74.35897435897436,5.349252780838849
1682318651.608663,100.0,5.346698950982959
1682318651.709112,100.0,5.343
1682318651.808965,62.5,5.343
1682318651.909024,25.0,5.343
1682318652.009409,38.46153846153847,5.343
1682318652.109536,94.87179487179486,5.2206638624874495
1682318652.209947,100.0,5.001885700211712
1682318652.309955,100.0,4.783986484287248
1682318652.409968,46.15384615384615,4.628
1682318652.510035,25.0,4.628
1682318652.610169,56.09756097560976,4.628
1682318652.710741,97.5,4.628
1682318652.8106,100.0,4.629341657868673
1682318652.910606,97.36842105263158,4.630483007172633
1682318653.010747,25.0,4.632
1682318653.110826,26.82926829268293,4.632
1682318653.211246,77.5,4.632
