seconds cpu user nice system idle iowait irq softirq steal guest guest_nice
1682316544.811193 cpu  28774 32 9077 385678 1690 0 321 0 0 0
1682316544.910447 cpu  28774 32 9077 385717 1690 0 321 0 0 0
1682316545.010792 cpu  28774 32 9077 385756 1690 0 321 0 0 0
1682316545.110929 cpu  28776 32 9084 385786 1692 0 321 0 0 0
1682316545.210969 cpu  28786 32 9084 385815 1692 0 321 0 0 0
1682316545.311026 cpu  28793 32 9085 385845 1693 0 321 0 0 0
1682316545.411364 cpu  28806 32 9094 385864 1693 0 321 0 0 0
1682316545.511578 cpu  28840 32 9097 385865 1693 0 321 0 0 0
1682316545.611876 cpu  28873 32 9104 385867 1693 0 321 0 0 0
1682316545.711989 cpu  28899 32 9108 385877 1693 0 321 0 0 0
1682316545.812065 cpu  28909 32 9118 385897 1693 0 321 0 0 0
1682316545.912205 cpu  28921 32 9121 385922 1693 0 321 0 0 0
1682316546.012207 cpu  28932 32 9124 385947 1693 0 321 0 0 0
1682316546.112389 cpu  28948 32 9126 385971 1693 0 321 0 0 0
1682316546.212440 cpu  28950 32 9128 386006 1693 0 322 0 0 0
1682316546.312488 cpu  28950 32 9129 386045 1693 0 322 0 0 0
1682316546.412553 cpu  28950 32 9129 386085 1693 0 322 0 0 0
1682316546.512623 cpu  28950 32 9129 386125 1693 0 322 0 0 0
1682316546.612695 cpu  28950 32 9129 386165 1693 0 322 0 0 0
1682316546.712765 cpu  28950 32 9129 386205 1693 0 322 0 0 0
1682316546.812837 cpu  28950 32 9129 386245 1693 0 322 0 0 0
1682316546.912909 cpu  28950 32 9129 386285 1693 0 322 0 0 0
1682316547.012982 cpu  28950 32 9129 386325 1693 0 322 0 0 0
1682316547.113053 cpu  28950 32 9129 386365 1693 0 322 0 0 0
1682316547.213125 cpu  28950 32 9129 386405 1693 0 322 0 0 0
1682316547.313196 cpu  28950 32 9129 386445 1693 0 322 0 0 0
1682316547.413267 cpu  28950 32 9129 386485 1693 0 322 0 0 0
1682316547.513338 cpu  28950 32 9129 386525 1693 0 322 0 0 0
1682316547.613822 cpu  28953 32 9132 386559 1693 0 322 0 0 0
1682316547.713820 cpu  28968 32 9138 386577 1693 0 322 0 0 0
1682316547.813994 cpu  28988 32 9142 386593 1693 0 322 0 0 0
1682316547.914111 cpu  29008 32 9143 386612 1693 0 322 0 0 0
1682316548.014176 cpu  29020 32 9145 386638 1693 0 322 0 0 0
1682316548.114266 cpu  29020 32 9145 386678 1693 0 322 0 0 0
1682316548.214392 cpu  29020 32 9145 386717 1693 0 322 0 0 0
1682316548.314438 cpu  29020 32 9145 386756 1693 0 322 0 0 0
1682316548.414490 cpu  29020 32 9145 386796 1693 0 322 0 0 0
1682316548.514606 cpu  29020 32 9146 386835 1693 0 322 0 0 0
1682316548.614663 cpu  29020 32 9146 386874 1693 0 323 0 0 0
1682316548.714772 cpu  29020 32 9146 386914 1693 0 323 0 0 0
1682316548.814977 cpu  29038 32 9152 386931 1693 0 323 0 0 0
1682316548.915090 cpu  29058 32 9155 386948 1693 0 323 0 0 0
1682316549.015282 cpu  29072 32 9157 386972 1693 0 323 0 0 0
1682316549.115338 cpu  29085 32 9161 386996 1693 0 323 0 0 0
1682316549.215405 cpu  29085 32 9161 387036 1693 0 323 0 0 0
1682316549.315487 cpu  29085 32 9162 387075 1693 0 323 0 0 0
1682316549.415542 cpu  29085 32 9162 387114 1693 0 323 0 0 0
1682316549.515931 cpu  29091 32 9166 387144 1693 0 323 0 0 0
1682316549.616284 cpu  29112 32 9169 387159 1693 0 323 0 0 0
1682316549.716446 cpu  29132 32 9172 387177 1693 0 323 0 0 0
1682316549.816530 cpu  29145 32 9174 387202 1693 0 323 0 0 0
1682316549.916487 cpu  29151 32 9174 387236 1693 0 323 0 0 0
1682316550.016607 cpu  29151 32 9176 387273 1693 0 323 0 0 0
1682316550.116971 cpu  29156 32 9177 387308 1694 0 323 0 0 0
1682316550.217505 cpu  29177 32 9178 387324 1694 0 323 0 0 0
1682316550.317553 cpu  29198 32 9181 387340 1694 0 323 0 0 0
1682316550.418173 cpu  29215 32 9184 387361 1694 0 323 0 0 0
1682316550.517545 cpu  29224 32 9187 387389 1694 0 323 0 0 0
1682316550.617658 cpu  29224 32 9188 387428 1694 0 324 0 0 0
1682316550.717736 cpu  29224 32 9190 387466 1694 0 324 0 0 0
1682316550.818328 cpu  29226 32 9191 387503 1694 0 324 0 0 0
1682316550.918197 cpu  29248 32 9192 387520 1694 0 324 0 0 0
1682316551.018465 cpu  29269 32 9195 387536 1694 0 324 0 0 0
1682316551.118715 cpu  29286 32 9197 387556 1694 0 324 0 0 0
1682316551.218527 cpu  29296 32 9200 387585 1694 0 324 0 0 0
1682316551.318670 cpu  29296 32 9200 387623 1694 0 324 0 0 0
1682316551.418852 cpu  29296 32 9200 387662 1694 0 324 0 0 0
1682316551.519233 cpu  29318 32 9201 387679 1694 0 324 0 0 0
1682316551.619538 cpu  29338 32 9204 387695 1694 0 324 0 0 0
1682316551.719735 cpu  29351 32 9208 387720 1694 0 324 0 0 0
1682316551.819515 cpu  29358 32 9212 387747 1694 0 324 0 0 0
1682316551.919538 cpu  29358 32 9212 387787 1694 0 324 0 0 0
1682316552.019662 cpu  29358 32 9212 387826 1694 0 324 0 0 0
1682316552.119802 cpu  29358 32 9214 387865 1694 0 324 0 0 0
1682316552.220191 cpu  29363 32 9216 387898 1694 0 324 0 0 0
1682316552.320493 cpu  29386 32 9219 387913 1694 0 324 0 0 0
1682316552.420626 cpu  29406 32 9222 387929 1694 0 324 0 0 0
1682316552.520716 cpu  29418 32 9225 387954 1694 0 324 0 0 0
1682316552.620769 cpu  29423 32 9227 387986 1694 0 324 0 0 0
1682316552.720782 cpu  29423 32 9227 388025 1694 0 324 0 0 0
1682316552.821218 cpu  29436 32 9230 388048 1695 0 324 0 0 0
1682316552.921217 cpu  29458 32 9231 388065 1695 0 324 0 0 0
1682316553.021450 cpu  29479 32 9233 388082 1695 0 324 0 0 0
1682316553.121584 cpu  29491 32 9236 388106 1695 0 324 0 0 0
1682316553.221625 cpu  29492 32 9240 388141 1695 0 325 0 0 0
1682316553.322474 cpu  29498 32 9240 388175 1695 0 325 0 0 0
1682316553.422258 cpu  29518 32 9243 388190 1695 0 325 0 0 0
1682316553.522537 cpu  29542 32 9244 388205 1695 0 325 0 0 0
1682316553.622850 cpu  29555 32 9248 388228 1695 0 325 0 0 0
1682316553.722701 cpu  29560 32 9250 388261 1695 0 325 0 0 0
1682316553.822794 cpu  29560 32 9250 388299 1695 0 325 0 0 0
