seconds cpu user nice system idle iowait irq softirq steal guest guest_nice
1682313146.075266 cpu  24494 0 8614 1091548 5852 0 288 0 0 0
1682313146.175405 cpu  24513 0 8620 1091562 5852 0 288 0 0 0
1682313146.275709 cpu  24549 0 8620 1091566 5852 0 288 0 0 0
1682313146.375723 cpu  24562 0 8624 1091589 5852 0 288 0 0 0
1682313146.475846 cpu  24572 0 8624 1091619 5852 0 288 0 0 0
1682313146.581436 cpu  24586 0 8628 1091643 5852 0 288 0 0 0
1682313146.681567 cpu  24622 0 8631 1091644 5852 0 288 0 0 0
1682313146.781619 cpu  24660 0 8632 1091644 5852 0 288 0 0 0
1682313146.882019 cpu  24696 0 8637 1091644 5852 0 288 0 0 0
1682313146.981928 cpu  24713 0 8638 1091666 5852 0 288 0 0 0
1682313147.081993 cpu  24723 0 8638 1091696 5852 0 288 0 0 0
1682313147.182236 cpu  24737 0 8640 1091719 5852 0 288 0 0 0
1682313147.282627 cpu  24774 0 8643 1091719 5852 0 288 0 0 0
1682313147.382728 cpu  24814 0 8643 1091719 5852 0 288 0 0 0
1682313147.482769 cpu  24852 0 8645 1091719 5852 0 288 0 0 0
1682313147.582835 cpu  24862 0 8647 1091749 5852 0 288 0 0 0
1682313147.682920 cpu  24873 0 8647 1091779 5852 0 288 0 0 0
1682313147.783337 cpu  24894 0 8651 1091793 5852 0 288 0 0 0
1682313147.883483 cpu  24934 0 8652 1091793 5852 0 288 0 0 0
1682313147.983662 cpu  24972 0 8653 1091793 5852 0 288 0 0 0
1682313148.083671 cpu  25002 0 8657 1091799 5852 0 288 0 0 0
1682313148.183746 cpu  25012 0 8657 1091829 5852 0 288 0 0 0
1682313148.285134 cpu  25022 0 8658 1091859 5852 0 288 0 0 0
1682313148.385464 cpu  25053 0 8660 1091866 5852 0 288 0 0 0
1682313148.485633 cpu  25090 0 8662 1091866 5852 0 288 0 0 0
1682313148.585763 cpu  25129 0 8663 1091866 5852 0 288 0 0 0
1682313148.685811 cpu  25159 0 8665 1091875 5852 0 288 0 0 0
1682313148.785826 cpu  25169 0 8665 1091905 5852 0 288 0 0 0
1682313148.886236 cpu  25179 0 8666 1091934 5852 0 288 0 0 0
1682313148.986730 cpu  25209 0 8670 1091940 5852 0 288 0 0 0
1682313149.086521 cpu  25248 0 8671 1091940 5852 0 288 0 0 0
1682313149.186929 cpu  25285 0 8676 1091940 5852 0 288 0 0 0
1682313149.286777 cpu  25310 0 8678 1091953 5852 0 288 0 0 0
1682313149.386829 cpu  25320 0 8678 1091983 5852 0 288 0 0 0
1682313149.487600 cpu  25333 0 8678 1092010 5852 0 288 0 0 0
1682313149.587915 cpu  25371 0 8679 1092012 5852 0 288 0 0 0
1682313149.687951 cpu  25410 0 8680 1092012 5852 0 288 0 0 0
1682313149.788313 cpu  25447 0 8682 1092012 5852 0 288 0 0 0
1682313149.888185 cpu  25464 0 8683 1092034 5852 0 288 0 0 0
1682313149.988243 cpu  25474 0 8683 1092064 5852 0 288 0 0 0
1682313150.088571 cpu  25494 0 8685 1092083 5852 0 288 0 0 0
1682313150.188905 cpu  25531 0 8687 1092084 5852 0 288 0 0 0
1682313150.288833 cpu  25570 0 8688 1092084 5852 0 288 0 0 0
1682313150.388907 cpu  25606 0 8690 1092086 5852 0 288 0 0 0
1682313150.488964 cpu  25616 0 8690 1092116 5852 0 288 0 0 0
1682313150.588985 cpu  25626 0 8690 1092146 5852 0 288 0 0 0
1682313150.689581 cpu  25649 0 8694 1092158 5852 0 288 0 0 0
1682313150.789763 cpu  25678 0 8698 1092163 5852 0 288 0 0 0
1682313150.889876 cpu  25716 0 8701 1092163 5852 0 288 0 0 0
1682313150.990163 cpu  25755 0 8702 1092163 5852 0 288 0 0 0
1682313151.090056 cpu  25765 0 8704 1092191 5852 0 288 0 0 0
