frame_num,people_detected_count,processing_time
1,1,1.4872057437896729
2,1,0.1782379150390625
3,1,0.17328262329101562
4,1,0.17108559608459473
5,0,0.17768144607543945
6,0,0.17835569381713867
7,1,0.16649222373962402
8,1,0.2207498550415039
9,0,0.19922137260437012
10,0,0.17150092124938965
11,0,0.2101891040802002
12,0,0.1806340217590332
13,1,0.1990523338317871
14,0,0.19708633422851562
15,0,0.16938114166259766
16,0,0.16881608963012695
17,1,0.18195509910583496
18,1,0.16934823989868164
19,1,0.17284607887268066
20,1,0.16798853874206543
21,1,0.18613672256469727
22,1,0.17034125328063965
23,2,0.1797034740447998
24,2,0.1771540641784668
25,2,0.18733930587768555
26,2,0.17064642906188965
27,2,0.17291259765625
28,2,0.29711174964904785
29,2,0.378964900970459
30,2,0.3842790126800537
31,2,0.3787248134613037
32,2,0.484851598739624
33,1,0.48661041259765625
34,1,0.48740148544311523
35,0,0.6364247798919678
36,0,0.4512298107147217
37,1,0.18458056449890137
38,1,0.17064285278320312
39,0,0.1761775016784668
40,0,0.16356420516967773
41,0,0.1707472801208496
42,0,0.16915059089660645
43,0,0.16744422912597656
44,0,0.16585564613342285
45,0,0.16919517517089844
46,0,0.17077922821044922
47,0,0.17030763626098633
48,0,0.1685168743133545
49,0,0.17141318321228027
50,0,0.17185020446777344
51,0,0.16773557662963867
52,0,0.16688203811645508
53,0,0.1735384464263916
54,0,0.17130208015441895
55,0,0.16819190979003906
56,0,0.18610858917236328
57,0,0.18694186210632324
58,0,0.1727309226989746
59,0,0.1673119068145752
60,0,0.17680740356445312
61,0,0.1685950756072998
62,0,0.16879987716674805
63,0,0.17299795150756836
64,0,0.1775531768798828
65,2,0.1721205711364746
66,2,0.17082905769348145
67,1,0.16745281219482422
68,1,0.16622495651245117
69,2,0.17241597175598145
70,2,0.1666862964630127
71,1,0.171860933303833
72,2,0.16930699348449707
73,1,0.1654374599456787
74,1,0.17021799087524414
75,1,0.16721391677856445
76,1,0.18109941482543945
77,2,0.17680907249450684
78,2,0.16914963722229004
79,0,0.17148828506469727
80,0,0.1843247413635254
81,1,0.17422270774841309
82,1,0.17569637298583984
83,1,0.18388843536376953
84,1,0.17346715927124023
85,1,0.1712646484375
86,1,0.17087674140930176
87,1,0.16618585586547852
88,1,0.1671459674835205
89,1,0.17451786994934082
90,1,0.18206405639648438
91,1,0.17187047004699707
92,1,0.17075586318969727
93,1,0.1703026294708252
94,1,0.1689000129699707
95,2,0.16690731048583984
96,2,0.18276500701904297
97,1,0.20935297012329102
98,1,0.16840577125549316
99,1,0.16832518577575684
100,1,0.17388701438903809
101,1,0.17136120796203613
102,1,0.1708354949951172
103,1,0.17027568817138672
104,1,0.17120814323425293
105,1,0.17295241355895996
106,1,0.1685805320739746
107,2,0.1717369556427002
108,2,0.19041919708251953
109,2,0.17189979553222656
110,2,0.1675734519958496
111,2,0.16974186897277832
112,2,0.1728670597076416
113,2,0.17647552490234375
114,2,0.17380714416503906
115,2,0.17821860313415527
116,2,0.20858263969421387
117,2,0.16991019248962402
118,2,0.16728854179382324
119,1,0.1775524616241455
120,1,0.17319345474243164
121,1,0.16986775398254395
122,1,0.16827654838562012
123,1,0.17350125312805176
124,1,0.17639780044555664
125,1,0.16910910606384277
126,1,0.18403172492980957
127,1,0.17485547065734863
128,1,0.16952013969421387
129,1,0.16640448570251465
130,2,0.16495585441589355
131,2,0.1714165210723877
132,2,0.1713411808013916
133,1,0.17014813423156738
134,1,0.1636333465576172
135,1,0.18296194076538086
136,1,0.17710542678833008
137,1,0.17543363571166992
138,1,0.17602038383483887
139,1,0.18538784980773926
140,1,0.1744227409362793
141,1,0.16546201705932617
