frame_num,people_detected_count,processing_time
1,1,1.895432472229004
2,1,1.1349611282348633
3,0,1.1275591850280762
4,0,1.109786033630371
5,0,1.1105635166168213
6,2,1.2387239933013916
7,0,1.1135220527648926
8,2,1.1331596374511719
9,2,1.1019675731658936
10,2,1.140671730041504
11,1,1.2183690071105957
12,0,1.1464030742645264
13,2,1.1241698265075684
14,2,1.1135647296905518
15,2,1.130190372467041
16,2,1.5381760597229004
17,1,1.6659278869628906
18,1,1.2359063625335693
19,1,1.118018388748169
20,0,1.097611904144287
21,2,1.1070184707641602
22,2,1.1662209033966064
23,1,1.190361499786377
24,2,1.1353626251220703
25,2,1.0965635776519775
26,2,1.111572265625
27,2,1.1122193336486816
28,2,1.0953378677368164
29,0,1.097496747970581
30,1,1.150224208831787
31,1,1.1235902309417725
32,2,1.1257505416870117
33,0,1.0976808071136475
34,0,1.132659673690796
35,0,1.0922906398773193
36,0,1.1672170162200928
37,0,1.101700782775879
38,0,1.1021499633789062
39,0,1.1249911785125732
40,0,1.1137006282806396
41,0,1.1327471733093262
42,0,1.1063461303710938
43,0,1.1589295864105225
44,0,1.1059200763702393
45,0,1.054305076599121
46,0,1.059422492980957
47,0,1.0691699981689453
48,0,1.1036128997802734
49,0,1.1214284896850586
50,0,1.1454846858978271
51,0,1.1179380416870117
52,0,1.0620057582855225
53,0,1.1211369037628174
54,0,1.1275968551635742
55,0,1.1040794849395752
56,0,1.125523328781128
57,0,1.099360704421997
58,0,1.103830337524414
59,0,1.1512112617492676
60,0,1.1394245624542236
61,0,1.1266875267028809
62,0,1.1007511615753174
63,0,1.0921106338500977
64,0,1.1375648975372314
65,0,1.1274921894073486
66,0,1.392594575881958
67,0,2.15960693359375
68,0,1.3809571266174316
69,0,1.1583163738250732
70,0,1.152616024017334
71,0,1.118436574935913
72,0,1.116586446762085
73,0,1.1446888446807861
74,0,1.1118388175964355
75,0,1.1360528469085693
76,0,1.1437726020812988
77,0,1.1086812019348145
78,0,1.1246252059936523
79,0,1.1260180473327637
80,0,1.1316580772399902
81,0,1.1317806243896484
82,0,1.103454828262329
83,0,1.1363186836242676
84,0,1.1135327816009521
85,0,1.124171495437622
86,0,1.1435375213623047
87,0,1.1436338424682617
88,0,1.1171209812164307
89,0,1.1414992809295654
90,0,1.1146361827850342
91,0,1.1082651615142822
92,0,1.0950331687927246
93,0,1.1293869018554688
94,0,1.1201660633087158
95,0,1.1344687938690186
96,0,1.1227946281433105
97,0,1.1135601997375488
98,0,1.16572904586792
99,0,1.1147632598876953
100,0,1.1099627017974854
101,0,1.1116676330566406
102,0,1.1156446933746338
103,0,1.107769250869751
104,0,1.137361764907837
105,0,1.123361587524414
106,0,1.1299266815185547
107,0,1.1745426654815674
108,0,1.1297523975372314
109,0,1.167311429977417
110,0,1.1820755004882812
111,0,1.126094102859497
112,0,1.1369869709014893
113,0,1.1112639904022217
114,0,1.0822484493255615
115,0,1.1858608722686768
116,0,1.530442714691162
117,0,2.0336132049560547
118,0,1.1859769821166992
119,0,1.1464760303497314
120,0,1.1733262538909912
121,0,1.1546428203582764
122,0,1.1306703090667725
123,0,1.1601953506469727
124,0,1.18153715133667
125,0,1.135878086090088
126,0,1.1440680027008057
127,0,1.1235601902008057
128,0,1.0866529941558838
